"oa_source_id","prop_np_mean","prop_np_sd","prop_fp_mean","prop_fp_sd","prop_np_found_mean","prop_np_found_sd","prop_fp_found_mean","prop_fp_found_sd","prop_nadafnee_mean","prop_nadafnee_sd","oa_source_name","journal","publisher_type","business_model","institution_type"
"https://openalex.org/S202381698",0.0511,0.0634,0.0153,0.0497,0.6156,0.4487,0.1029,0.2387,0.9336,0.0922,"PLoS ONE","PLoS ONE","np","OA","Non-profit"
"https://openalex.org/S20257348",0.3017,0.145,0.0884,0.0814,0.7772,0.1751,0.2228,0.1751,0.6099,0.1559,"Journal of Experimental Biology","Journal of Experimental Biology","np","hybrid","Non-profit"
"https://openalex.org/S205086949",0.2066,0.0905,0.2464,0.113,0.4638,0.1558,0.5362,0.1558,0.5469,0.1551,"American Journal of Botany","American Journal of Botany","fp","hybrid","Society"
"https://openalex.org/S205679754",0.0378,0.0417,0.0948,0.0695,0.2719,0.2638,0.7117,0.2772,0.8674,0.092,"Pedosphere","Pedosphere","fp","subscription","Society"
"https://openalex.org/S207270806",0.1506,0.0898,0.1264,0.0941,0.5516,0.2708,0.4288,0.2662,0.723,0.1294,"Mediterranean Marine Science","Mediterranean Marine Science","np","diamond_OA","Uni/Gov"
"https://openalex.org/S22041155",0.1345,0.0646,0.2168,0.1206,0.4263,0.1991,0.5737,0.1991,0.6487,0.142,"Ecoscience","Ecoscience","fp","hybrid","Uni/Gov"
"https://openalex.org/S2254258",0.1869,0.1086,0.2193,0.1123,0.4686,0.178,0.5314,0.178,0.5938,0.1562,"Annals of Botany","Annals of Botany","np","hybrid","Non-profit"
"https://openalex.org/S23218126",0.0731,0.0539,0.1112,0.0869,0.4134,0.285,0.5241,0.2972,0.8157,0.1212,"Aquatic Living Resources","Aquatic Living Resources","fp","diamond_OA","Uni/Gov"
"https://openalex.org/S2485448675",0.1417,0.1516,0.0281,0.0604,0.8688,0.24,0.1079,0.1987,0.8302,0.1628,"Interface Focus","Interface Focus","np","hybrid","Society"
"https://openalex.org/S2486232989",0.1489,0.0741,0.1579,0.1178,0.5322,0.2554,0.4678,0.2554,0.6932,0.1287,"Animal Biodiversity and Conservation","Animal Biodiversity and Conservation","np","diamond_OA","Museum"
"https://openalex.org/S24891482",0.2306,0.2199,0.0675,0.112,0.6868,0.3592,0.2299,0.2998,0.7019,0.2243,"Annales Zoologici","Annales Zoologici","np","subscription","Uni/Gov"
"https://openalex.org/S2490919458",0.141,0.0711,0.1358,0.0897,0.5204,0.228,0.4796,0.228,0.7232,0.0964,"Freshwater Science","Freshwater Science","np","hybrid","Society"
